time,id,lat,lng
2024-01-19 10:20:00,001,52.1348,5.1460
2024-01-19 10:21:00,001,52.1348,5.1461
2024-01-19 10:22:00,001,52.1347,5.1461
2024-01-19 10:23:00,001,52.1348,5.1460
2024-01-19 10:24:00,001,52.1349,5.1460
2024-01-19 10:25:00,001,52.1350,5.1458
2024-01-19 10:26:00,001,52.1350,5.1457
2024-01-19 10:27:00,001,52.1349,5.1457
2024-01-19 10:28:00,001,52.1350,5.1456
2024-01-19 10:29:00,001,52.1349,5.1456
2024-01-19 10:30:00,001,52.1348,5.1454
2024-01-19 10:31:00,001,52.1347,5.1453
2024-01-19 10:32:00,001,52.1346,5.1453
2024-01-19 10:33:00,001,52.1346,5.1452
2024-01-19 10:34:00,001,52.1345,5.1452
2024-01-19 10:35:00,001,52.1345,5.1451
2024-01-19 10:36:00,001,52.1344,5.1451
2024-01-19 10:37:00,001,52.1344,5.1452
2024-01-19 10:38:00,001,52.1345,5.1453
2024-01-19 10:39:00,001,52.1344,5.1452
2024-01-19 10:40:00,001,52.1343,5.1450
2024-01-19 10:41:00,001,52.1344,5.1446
2024-01-19 10:42:00,001,52.1344,5.1442
2024-01-19 10:43:00,001,52.1344,5.1439
2024-01-19 10:44:00,001,52.1344,5.1436
2024-01-19 10:45:00,001,52.1345,5.1433
2024-01-19 10:46:00,001,52.1345,5.1431
2024-01-19 10:47:00,001,52.1344,5.1430
2024-01-19 10:48:00,001,52.1344,5.1431
2024-01-19 10:49:00,001,52.1343,5.1432
2024-01-19 10:50:00,001,52.1344,5.1432
2024-01-19 10:51:00,001,52.1344,5.1431
2024-01-19 10:52:00,001,52.1343,5.1432
2024-01-19 10:53:00,001,52.1344,5.1433
2024-01-19 10:54:00,001,52.1345,5.1433
2024-01-19 10:55:00,001,52.1345,5.1434
2024-01-19 10:56:00,001,52.1344,5.1434
2024-01-19 10:57:00,001,52.1343,5.1433
2024-01-19 10:58:00,001,52.1344,5.1432
2024-01-19 10:59:00,001,52.1345,5.1432
2024-01-19 11:00:00,001,52.1345,5.1431
2024-01-19 11:01:00,001,52.1344,5.1432
2024-01-19 11:02:00,001,52.1344,5.1433
2024-01-19 11:03:00,001,52.1343,5.1434
2024-01-19 11:04:00,001,52.1344,5.1434
2024-01-19 11:05:00,001,52.1345,5.1433
2024-01-19 11:06:00,001,52.1346,5.1432
2024-01-19 11:07:00,001,52.1346,5.1431
2024-01-19 11:08:00,001,52.1345,5.1430
2024-01-19 11:09:00,001,52.1344,5.1431
2024-01-19 11:10:00,001,52.1344,5.1432
2024-01-19 11:11:00,001,52.1343,5.1432
2024-01-19 11:12:00,001,52.1343,5.1433
2024-01-19 11:13:00,001,52.1344,5.1434
2024-01-19 11:14:00,001,52.1344,5.1433
2024-01-19 11:15:00,001,52.1345,5.1432
2024-01-19 11:16:00,001,52.1343,5.1429
2024-01-19 11:17:00,001,52.1341,5.1426
2024-01-19 11:18:00,001,52.1339,5.1423
2024-01-19 11:19:00,001,52.1338,5.1421
2024-01-19 11:20:00,001,52.1338,5.1420
2024-01-19 11:21:00,001,52.1339,5.1420
2024-01-19 11:22:00,001,52.1338,5.1421
2024-01-19 11:23:00,001,52.1336,5.1426
2024-01-19 11:24:00,001,52.1333,5.1431
2024-01-19 11:25:00,001,52.1330,5.1436
2024-01-19 11:26:00,001,52.1328,5.1440
2024-01-19 11:27:00,001,52.1327,5.1436
2024-01-19 11:28:00,001,52.1327,5.1434
2024-01-19 11:29:00,001,52.1327,5.1433
2024-01-19 11:30:00,001,52.1327,5.1434
2024-01-19 11:31:00,001,52.1328,5.1435
2024-01-19 11:32:00,001,52.1327,5.1436
2024-01-19 11:33:00,001,52.1327,5.1435
2024-01-19 11:34:00,001,52.1327,5.1434
2024-01-19 11:35:00,001,52.1328,5.1433
2024-01-19 11:36:00,001,52.1329,5.1428
2024-01-19 11:37:00,001,52.1330,5.1424
2024-01-19 11:38:00,001,52.1330,5.1420
2024-01-19 11:39:00,001,52.1330,5.1418
2024-01-19 11:40:00,001,52.1331,5.1417
2024-01-19 11:41:00,001,52.1330,5.1417
2024-01-19 11:42:00,001,52.1330,5.1418
2024-01-19 11:43:00,001,52.1329,5.1418
2024-01-19 11:44:00,001,52.1330,5.1417
2024-01-19 11:45:00,001,52.1331,5.1418
2024-01-19 11:46:00,001,52.1333,5.1422
2024-01-19 11:47:00,001,52.1336,5.1426
2024-01-19 11:48:00,001,52.1339,5.1429
2024-01-19 11:49:00,001,52.1341,5.1431
2024-01-19 11:50:00,001,52.1343,5.1432
2024-01-19 11:51:00,001,52.1344,5.1432
2024-01-19 11:52:00,001,52.1345,5.1433
2024-01-19 11:53:00,001,52.1344,5.1434
2024-01-19 11:54:00,001,52.1343,5.1433
2024-01-19 11:55:00,001,52.1344,5.1432
2024-01-19 11:56:00,001,52.1345,5.1431
2024-01-19 11:57:00,001,52.1344,5.1431
2024-01-19 11:58:00,001,52.1344,5.1432
2024-01-19 11:59:00,001,52.1345,5.1433
